epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.338,0.80957,1.4454,0.92891,0.88666,0.51749,0.97152,0.76529,0.81924,1.95364,0.95028,0.000549818,0.000549818,0.000549818
2,185.117,0.71357,0.64793,0.88229,0.92432,0.93261,0.98423,0.78147,0.81105,0.76216,0.92641,0.0010918,0.0010918,0.0010918
3,265.51,0.68572,0.53755,0.87978,0.97895,0.97513,0.99334,0.79681,0.78752,0.57952,0.91238,0.00162004,0.00162004,0.00162004
4,343.976,0.69593,0.49319,0.88044,0.93678,0.92715,0.98633,0.76179,0.80061,0.61005,0.98804,0.00160511,0.00160511,0.00160511
5,422.878,0.66055,0.45048,0.87218,0.90352,0.95354,0.99133,0.80427,0.76238,0.57178,0.8942,0.00158448,0.00158448,0.00158448
6,501.265,0.65397,0.42407,0.87086,0.97562,0.98428,0.99039,0.82329,0.71115,0.46939,0.88124,0.00156385,0.00156385,0.00156385
7,578.363,0.62394,0.40234,0.86288,0.98326,0.98896,0.99363,0.82468,0.70428,0.42002,0.89242,0.00154323,0.00154323,0.00154323
8,657.012,0.59968,0.37773,0.85381,0.98252,0.97756,0.99297,0.81012,0.75154,0.47291,0.90035,0.0015226,0.0015226,0.0015226
9,735.771,0.59661,0.37585,0.85534,0.98904,0.98662,0.99371,0.84593,0.66494,0.38063,0.87082,0.00150197,0.00150197,0.00150197
10,814.288,0.58121,0.36486,0.85608,0.98494,0.9887,0.99412,0.84705,0.6403,0.36992,0.85972,0.00148134,0.00148134,0.00148134
11,892.555,0.57553,0.35946,0.84908,0.98857,0.99363,0.99428,0.8396,0.66442,0.39911,0.865,0.00146071,0.00146071,0.00146071
12,969.972,0.55831,0.34531,0.8481,0.98789,0.99491,0.99431,0.83364,0.68143,0.36708,0.88005,0.00144008,0.00144008,0.00144008
13,1049.23,0.55677,0.34311,0.84379,0.98488,0.98797,0.9936,0.84035,0.66542,0.37517,0.87463,0.00141945,0.00141945,0.00141945
14,1128.7,0.56207,0.35184,0.84735,0.98708,0.992,0.99444,0.86649,0.61983,0.365,0.8536,0.00139882,0.00139882,0.00139882
15,1207.51,0.53855,0.33582,0.84485,0.99342,0.99011,0.99461,0.86058,0.61736,0.34555,0.85542,0.00137819,0.00137819,0.00137819
16,1287.17,0.5382,0.33434,0.84068,0.99059,0.99302,0.99447,0.8549,0.64289,0.34462,0.86241,0.00135756,0.00135756,0.00135756
17,1366.88,0.52945,0.32559,0.84158,0.97659,0.99323,0.99405,0.82943,0.69561,0.39321,0.90553,0.00133693,0.00133693,0.00133693
18,1447.01,0.52601,0.32418,0.84096,0.97152,0.96967,0.99089,0.85581,0.62005,0.39518,0.86681,0.0013163,0.0013163,0.0013163
19,1526.64,0.51188,0.31416,0.83474,0.99176,0.98564,0.99443,0.86753,0.59666,0.3352,0.84626,0.00129568,0.00129568,0.00129568
20,1605.76,0.52907,0.31898,0.83933,0.99294,0.99728,0.99486,0.86501,0.59175,0.3254,0.8531,0.00127505,0.00127505,0.00127505
21,1685.09,0.51342,0.3147,0.84016,0.99216,0.99767,0.99469,0.86816,0.60765,0.32761,0.85294,0.00125442,0.00125442,0.00125442
22,1765.41,0.50552,0.31223,0.83785,0.99282,0.99582,0.99464,0.86096,0.62192,0.3328,0.86695,0.00123379,0.00123379,0.00123379
23,1844.4,0.50312,0.30689,0.83433,0.99211,0.99129,0.99484,0.86913,0.59724,0.32012,0.85225,0.00121316,0.00121316,0.00121316
24,1923.05,0.5045,0.30629,0.83504,0.99664,0.99651,0.99482,0.85172,0.63826,0.33236,0.87065,0.00119253,0.00119253,0.00119253
25,2000.94,0.49111,0.29905,0.83331,0.98302,0.98778,0.99429,0.86597,0.59541,0.33348,0.84993,0.0011719,0.0011719,0.0011719
26,2079.44,0.48604,0.2934,0.83073,0.99033,0.99214,0.99485,0.87751,0.57915,0.3177,0.83944,0.00115127,0.00115127,0.00115127
27,2157.75,0.48123,0.29172,0.83193,0.99115,0.99709,0.99456,0.87516,0.57041,0.3045,0.84383,0.00113064,0.00113064,0.00113064
28,2235.87,0.48213,0.29089,0.8318,0.99191,0.99534,0.99457,0.87112,0.59363,0.30644,0.84865,0.00111001,0.00111001,0.00111001
29,2315.02,0.48314,0.2897,0.82696,0.99637,0.99418,0.99495,0.86381,0.6042,0.30105,0.8531,0.00108938,0.00108938,0.00108938
30,2393.94,0.47849,0.2891,0.83144,0.99077,0.98904,0.99438,0.87017,0.60908,0.32632,0.85405,0.00106876,0.00106876,0.00106876
31,2472.39,0.48338,0.29051,0.82867,0.99213,0.99302,0.99485,0.86603,0.60577,0.32021,0.8504,0.00104813,0.00104813,0.00104813
32,2550.03,0.47719,0.28939,0.82766,0.98958,0.99581,0.99488,0.87259,0.57939,0.30888,0.84862,0.0010275,0.0010275,0.0010275
33,2627.59,0.46561,0.28357,0.82977,0.99542,0.99733,0.99491,0.87489,0.5844,0.29278,0.84041,0.00100687,0.00100687,0.00100687
34,2706.1,0.46766,0.28378,0.82527,0.9939,0.99709,0.99435,0.87737,0.56507,0.28774,0.84141,0.000986239,0.000986239,0.000986239
35,2784.95,0.45873,0.27622,0.82367,0.98559,0.99113,0.99426,0.87007,0.57862,0.32128,0.84551,0.00096561,0.00096561,0.00096561
36,2863.86,0.46237,0.27775,0.82625,0.9956,0.99651,0.99496,0.86675,0.59578,0.30919,0.85645,0.000944981,0.000944981,0.000944981
37,2943.24,0.47011,0.27986,0.82623,0.99471,0.99476,0.99494,0.87588,0.57279,0.29465,0.85363,0.000924352,0.000924352,0.000924352
38,3022.87,0.44914,0.27151,0.82557,0.9953,0.99767,0.99491,0.87151,0.57612,0.28968,0.84878,0.000903722,0.000903722,0.000903722
39,3100.87,0.44646,0.26903,0.82521,0.99735,0.99674,0.99498,0.88994,0.53978,0.27347,0.82987,0.000883093,0.000883093,0.000883093
40,3179.07,0.4486,0.26891,0.82668,0.99464,0.99418,0.99494,0.88666,0.54116,0.27825,0.82892,0.000862464,0.000862464,0.000862464
41,3257.39,0.44139,0.26578,0.81762,0.99567,0.99884,0.99498,0.88008,0.5525,0.2783,0.8367,0.000841835,0.000841835,0.000841835
42,3335.26,0.44078,0.26496,0.82219,0.99759,0.99709,0.99498,0.88116,0.55521,0.27379,0.83955,0.000821206,0.000821206,0.000821206
43,3413.47,0.44161,0.26533,0.82205,0.99426,0.99377,0.99487,0.87702,0.56773,0.28297,0.84195,0.000800577,0.000800577,0.000800577
44,3491.4,0.43483,0.26012,0.8222,0.99649,0.9994,0.99491,0.88557,0.55352,0.27254,0.83588,0.000779948,0.000779948,0.000779948
45,3569.72,0.43468,0.25953,0.82005,0.98858,0.98774,0.99423,0.87989,0.55432,0.30429,0.84276,0.000759318,0.000759318,0.000759318
